Position,Organization Name,Type,Contact,Membership
49,Black Graduate Student Association,Student Organization,,(12 Months)
50,Black Law Students Association,Graduate Student Organization - Dedman School of Law,Contact: Email group officers,Lifetime membership
51,Black Men Emerging,Student Organization,,Lifetime membership
52,Black Seminarians Association,Graduate Student Organization - Perkins School of Theology,,Lifetime membership
53,Black Student- Athlete Committee,Student Organization,,Lifetime membership
54,Black Unity Forum,Department - Affinity/Identity,,Lifetime membership
55,Board of Advocates,Graduate Student Organization - Dedman School of Law,Contact: Caitlin Schneider,Lifetime membership
56,Board Together,Student Organization,"Contact: Montana Braden, Email group officers","(1 Year)

Membership will end on 31 May"
57,Boaz Commons,Residence Life,Contact: Lauren Eisenschenk,Lifetime membership
58,Boulevard Car Club,Student Organization,,Lifetime membership
59,Brazilian & Portuguese Speakers Association,Student Organization,,Lifetime membership
60,Bridwell Library,Department,,Lifetime membership
61,Brierley Institute for Customer Engagement,Department,,Lifetime membership
62,Business in Healthcare Club,Student Organization,,Lifetime membership
63,Business Leadership Center,Department,,Lifetime membership
64,Business Library,Department - Cox School of Business,"Contact: Heather Bell, Tracey Rinehart, Melissa Johnson, Justin Harrison",Lifetime membership
65,Caruth Institute for Engineering Education,Department,,Lifetime membership
66,Case Consulting Club,Student Organization,,Lifetime membership
67,Catholic Campus Ministry at SMU,Student Organization - Religious Life Organization,"Contact: Wade Bass, Mary Catherine McDermott",Lifetime membership
68,Check Yourself,Student Organization,,Lifetime membership
69,Chemistry Graduate Council,"Department - Academic, Dedman College of Humanities and Sciences",,Lifetime membership
70,Chi Omega,Student Organization,,Lifetime membership
71,Chinese Language Club,Student Organization,,Lifetime membership
72,Chinese Student Association,Student Organization,Contact: Andy Su,Lifetime membership
73,Chinese Student Union,Student Organization,,Lifetime membership
74,Christian Legal Society,Graduate Student Organization - Dedman School of Law,,Lifetime membership
75,Christian Students,Student Organization,,Lifetime membership
76,Circle K International.,Student Organization,"Contact: Savannah Hunsucker, Vivian Thai",Lifetime membership
77,Club Baseball,Student Organization,,Lifetime membership
78,Club Rugby,Student Organization,,Lifetime membership
79,Club Spikeball,Student Organization,Contact: James Gullett,Lifetime membership
80,Club Sports Media and Marketing,Student Organization,"Contact: Isabella Wells, Email group officers",Lifetime membership
81,Club Tennis,Student Organization,,Lifetime membership
82,Cockrell-McIntosh Commons,Residence Life,,Lifetime membership
83,Collegiate Dream Team,Student Organization,Contact: Charlotte Reardon,Lifetime membership
84,Computer Science Club,Student Organization,"Contact: Maggie Asare, Email group officers",Lifetime membership
85,Computer Science Department,Department - Lyle School of Engineering,,Lifetime membership
86,Consult Your Community,Student Organization,Contact: Sakshi Hinduja,Lifetime membership
87,Consulting & Corporate Strategy Club,Graduate Student Organization - Cox School of Business,"Contact: Melissa Cunningham, Email group officers",(12 Months)
88,Corporate Counsel Externship Program,Graduate Student Organization - Dedman School of Law,,Lifetime membership
89,Corporate Law Association,Graduate Student Organization - Dedman School of Law,"Contact: Catherine Huckabay, Madeline Cartwright",Lifetime membership
90,Counseling Services,Department,Contact: Email group officers,Lifetime membership
91,Counselors for Social Justice,Graduate Student Organization - Simmons School of Education and Human Development,,Lifetime membership
92,Cox Business Aviation Club,Graduate Student Organization - Cox School of Business,Contact: Connor Melvin,(12 Months)
93,Cox Career Management Center,Department - Cox School of Business,Contact: Cheryl Posner,Lifetime membership
94,Cox Christian Fellowship,Graduate Student Organization - Cox School of Business,,(12 Months)
95,Cox Executive Education,Department - Cox School of Business,,Lifetime membership
96,Cox Full-Time MBA,Department - Cox School of Business,,Lifetime membership
97,Cox Golf Club,Graduate Student Organization - Cox School of Business,,"(1 Year)

Membership will end on 31 May"
98,Cox Graduate Admissions - MS Programs,Department - Cox School of Business,,Lifetime membership
99,Cox Graduate Energy Club,Graduate Student Organization - Cox School of Business,,(12 Months)
100,Cox Graduate Entrepreneurship Club,Graduate Student Organization - Cox School of Business,Contact: Email group officers,$50 (12 Months)
101,Cox Graduate Finance Association,Graduate Student Organization - Cox School of Business,,(12 Months)
102,Cox Graduate Marketing Club,Graduate Student Organization - Cox School of Business,"Contact: Jackson Farley, Email group officers","(1 Year)

Membership will end on 31 May"
103,Cox Graduate Programs,Department - Cox School of Business,,Lifetime membership
104,Cox Graduate Real Estate Club,Student Organization,,"(1 Year)

Membership will end on 31 May"
105,Cox Graduate Student Services,Department,,Lifetime membership
106,Cox Graduate Women in Business,Graduate Student Organization - Cox School of Business,Contact: Email group officers,(12 Months)
107,Cox Human Resources Club,Graduate Student Organization - Cox School of Business,,Lifetime membership
108,Cox MBA Ambassadors,Department,,Lifetime membership
109,Cox MSA Student Leadership Group,Graduate Student Organization - Cox School of Business,,Lifetime membership
110,Cox MSBA Student Leadership Group (SLG),Graduate Student Organization - Cox School of Business,,Lifetime membership
111,Cox MSF Student Leadership Group,Graduate Student Organization - Cox School of Business,,Lifetime membership
112,Cox MSM Student Leadership Group (SLG),Graduate Student Organization - Cox School of Business,,Lifetime membership
113,Crafts Club,Student Organization,"Contact: Anika Saiprabhu, Victoria Valdez",Lifetime membership
114,Criminal Law Society,Graduate Student Organization - Dedman School of Law,,Lifetime membership
115,CRU,Student Organization - Religious Life Organization,,Lifetime membership
116,Crum Commons,Residence Life,,Lifetime membership
117,Curt Herridge Test,Department,,Lifetime membership
118,Cyber Security,Student Organization,Contact: Oliver Zhu,Lifetime membership
119,Dallas Association of Young Lawyers,Graduate Student Organization - Dedman School of Law,,Lifetime membership
120,Dance Marathon,"Student Organization - Social, Service",Contact: Nick Ludwig,Lifetime membership
121,Deacons at Perkins,Department - Perkins School of Theology,,"(1 Year)

Membership will end on 31 May"
122,Dean of Students,Department,,Lifetime membership
123,Deason Criminal Justice Reform Center,Department,,Lifetime membership
124,Deason Criminal Justice Reform Center,Department - Dedman School of Law,Contact: Email group officers,Lifetime membership
125,Deason Innovation Gym,Department,Contact: Jt Ringer,Lifetime membership
126,Debate,Student Organization,"Contact: Benjamin Voth, Hailey Hazen",Lifetime membership
127,Dedman College,Department,,Lifetime membership
128,Dedman College Interdisciplinary Institute,Department,,Lifetime membership
129,Dedman Graduate Student Assembly,Graduate Student Organization - Dedman College of Humanities and Sciences,,Lifetime membership
130,Dedman Law Office of Diversity & Inclusion,Graduate Student Organization - Dedman School of Law,,Lifetime membership
131,Dedman Law Office of Student Affairs,Graduate Student Organization - Dedman School of Law,,Lifetime membership
132,Dedman Law Robert B. Rowling Center for Business Law & Leadership,Graduate Student Organization - Dedman School of Law,,Lifetime membership
133,"Dedman Law Tsai Center for Law, Science and Innovation",Graduate Student Organization - Dedman School of Law,Contact: Natalie Greco,Lifetime membership
134,Dedman School of Law,Department,Contact: Stephen Yeager,Lifetime membership
135,Delta Delta Delta,Student Organization,Contact: Kate Marquardt,Lifetime membership
136,Delta Gamma,Student Organization,,Lifetime membership
137,Delta Sigma Phi,Student Organization - Interfraternity Council,,Lifetime membership
138,Delta Sigma Pi,Student Organization,,Lifetime membership
139,"Delta Sigma Theta Sorority, Inc.",Student Organization,,Lifetime membership
140,Department of Counseling,Department - Simmons School of Education and Human Development,Contact: Brandy Schumann,Lifetime membership
141,Department of Student Development,Department,,Lifetime membership
142,Department of Teaching and Learning,Department - Simmons School of Education and Human Development,,Lifetime membership
143,Departments and Programs,Department,,Lifetime membership
144,Development and External Affairs,Department,,Lifetime membership
145,Disability Connections and Empowerment,Student Organization,Contact: Arianna Gonzalez,Lifetime membership
146,Disability Law Association,Graduate Student Organization - Dedman School of Law,Contact: David Carl,Lifetime membership
147,Distributive Education Club of America,"Student Organization - Professional, Special Interest",,Lifetime membership
148,Division of Student Affairs,Department,"Contact: Dawn Norris, Email group officers",Lifetime membership
149,Dr. Bob Smith Health Center,Department,Contact: Email group officers,Lifetime membership
150,Earth First,Student Organization,"Contact: Arlo Kadane, Email group officers",Lifetime membership
151,East Asian Student Association,Student Organization,Contact: Michelle Ma,Lifetime membership
152,Embrey Human Rights Program,Department,,Lifetime membership
153,Energy Law Association,Graduate Student Organization - Dedman School of Law,,Lifetime membership
154,"Energy, Environment & Natural Resources Law Society",Graduate Student Organization - Special Interest,,Lifetime membership
155,Engage Dallas,"Department - Special Interest, Programming, Service",,Lifetime membership
156,Engaged Learning Student Board,Student Organization,,Lifetime membership
157,Engineers Without Borders,Student Organization,Contact: Caroline Corbin,Lifetime membership
158,Entrepreneurship Club,Student Organization,"Contact: Kevin Hildebrand, Email group officers","(4 Years)

Membership will end on 31 May 2027"
