Position,Organization Name,Type,Contact,Membership
245,Lyle Graduate School Council,Graduate Student Organization - Lyle School of Engineering,,Lifetime membership
246,Lyle School of Engineering,Department,,Lifetime membership
247,Maguire BBA Energy Club,Department - Cox School of Business,,Lifetime membership
248,Maguire Energy Kyle Miller Scholars,Department - Cox School of Business,,Lifetime membership
249,Maguire Energy Spindletop Fund,Department - Cox School of Business,,Lifetime membership
250,Maguire Ethics Center,Department,,Lifetime membership
251,"Mary Hay, Peyton, and Shuttles Commons",Residence Life,,Lifetime membership
252,MBA Direct,Department,,Lifetime membership
253,McElvaney Commons,Residence Life,,Lifetime membership
254,McElvaney Garden Club,Student Organization,,Lifetime membership
255,McNair Scholars Program,Department,,Lifetime membership
256,Meadows Museum,Department,Contact: Email group officers,Lifetime membership
257,Meadows School of the Arts,Department - Meadows School of the Arts,,Lifetime membership
258,Medieval Club,Student Organization,,Lifetime membership
259,MEDLIFE,Student Organization,Contact: Lauren O'Donnell-Griffin,Lifetime membership
260,Men for Equality,Student Organization,,Lifetime membership
261,Men's Club Rowing,Student Organization,,Lifetime membership
262,Men's Lacrosse Club,Student Organization,,Lifetime membership
263,Men's Soccer Club,Student Organization,Contact: Email group officers,Lifetime membership
264,Men's Volleyball (SMU),Student Organization,,Lifetime membership
265,Metaversity,Student Organization - Professional,,Lifetime membership
266,Minority Association of Pre-Health Students,Student Organization,"Contact: Saam Shahandeh, Email group officers",Lifetime membership
267,Mock Trial,Student Organization,,Lifetime membership
268,Moody School of Graduate and Advance Studies,Department,,Lifetime membership
269,Morrison-McGinnis Commons,Residence Life,,Lifetime membership
270,Mortar Board,Student Organization - Honor Society,,Lifetime membership
271,Mothers' and Dads' Clubs,Department,,Lifetime membership
272,MS Programs,Department,,Lifetime membership
273,Multicultural Greek Council,Student Organization,Contact: Email group officers,Lifetime membership
274,Muslim Law Students Associationâ”¬Ã¡,Graduate Student Organization - Dedman School of Law,,Lifetime membership
275,Muslim Student Association,Student Organization,,Lifetime membership
276,Mustang Ballroom Dance Club,Student Organization,"Contact: Anne Hulme, Morgan Le, Email group officers",Lifetime membership
277,Mustang Band,Department,,Lifetime membership
278,Mustang Chess Club,Student Organization,,Lifetime membership
